Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.596,309.596,screen bright,228.75522126799999
0,41.394,41.394,wifi running,0.088396887
41.394,42.664,1.2700000000000031,wifi scan,0.23866348000000057
42.664,177.543,134.87900000000002,wifi radio,169.940121655
177.543,179.737,2.1939999999999884,wifi running,0.004685286999999975
179.737,309.596,129.859,wifi radio,163.615197755
306.095,309.596,3.5009999999999764,gps,0.5532525269999963
1.014,309.596,308.582,audio,52.718148879999994
1.014,301.972,300.95799999999997,audio,51.415664719999995
307.781,309.596,1.8149999999999977,audio,0.3100745999999996

