Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.651,309.651,screen bright,231.20649286799997
0,4.14,4.14,wifi running,0.008934119999999999
4.14,6.38,2.24,wifi scan,0.42538496000000003
6.38,14.156,7.776000000000001,wifi running,0.016780608
14.156,16.242,2.0860000000000003,wifi scan,0.396139744
16.242,24.17,7.928000000000001,wifi running,0.017108624
24.17,26.343,2.1729999999999983,wifi scan,0.4126613919999996
26.343,34.194,7.851000000000003,wifi running,0.016942458000000004
34.194,36.379,2.184999999999995,wifi scan,0.41494023999999907
36.379,44.619,8.240000000000002,wifi running,0.017781920000000003
44.619,46.608,1.9889999999999972,wifi scan,0.37771905599999944
46.608,54.642,8.034000000000006,wifi running,0.01733737200000001
54.642,56.415,1.7729999999999961,wifi scan,0.3366997919999992
56.415,64.667,8.252000000000002,wifi running,0.017807816000000004
64.667,66.725,2.0579999999999927,wifi scan,0.3908224319999986
66.725,74.673,7.9480000000000075,wifi running,0.017151784000000014
74.673,76.842,2.168999999999997,wifi scan,0.4119017759999994
76.842,84.69,7.847999999999999,wifi running,0.016935983999999994
84.69,86.868,2.1779999999999973,wifi scan,0.41361091199999944
86.868,94.706,7.838000000000008,wifi running,0.016914404000000015
94.706,97.00399999999999,2.2979999999999876,wifi scan,0.4363993919999976
97.00399999999999,104.725,7.721000000000004,wifi running,0.016661918000000005
104.725,106.875,2.1500000000000057,wifi scan,0.40829360000000103
106.875,114.75399999999999,7.878999999999991,wifi running,0.01700288199999998
114.75399999999999,116.886,2.132000000000005,wifi scan,0.4048753280000009
116.886,124.787,7.9010000000000105,wifi running,0.017050358000000022
124.787,126.804,2.016999999999996,wifi scan,0.3830363679999992
126.804,134.848,8.044000000000011,wifi running,0.01735895200000002
134.848,136.837,1.988999999999976,wifi scan,0.3777190559999954
136.837,144.898,8.061000000000007,wifi running,0.017395638000000012
144.898,146.883,1.9850000000000136,wifi scan,0.3769594400000026
146.883,154.934,8.050999999999988,wifi running,0.01737405799999997
154.934,156.914,1.9799999999999898,wifi scan,0.37600991999999805
156.914,164.978,8.064000000000021,wifi running,0.017402112000000046
164.978,167.051,2.072999999999979,wifi scan,0.393670991999996
167.051,175.008,7.957000000000022,wifi running,0.017171206000000046
175.008,177.107,2.0989999999999895,wifi scan,0.398608495999998
177.107,185.039,7.931999999999988,wifi running,0.017117255999999973
185.039,187.02,1.981000000000023,wifi scan,0.37619982400000435
187.02,195.07,8.049999999999983,wifi running,0.01737189999999996
195.07,197.16,2.0900000000000034,wifi scan,0.39689936000000064
197.16,205.114,7.954000000000008,wifi running,0.017164732000000016
205.114,207.185,2.070999999999998,wifi scan,0.39329118399999957
207.185,215.144,7.959000000000003,wifi running,0.017175522000000006
215.144,217.22,2.0759999999999934,wifi scan,0.3942407039999987
217.22,225.183,7.962999999999994,wifi running,0.017184153999999986
225.183,227.266,2.0829999999999984,wifi scan,0.3955700319999997
227.266,235.20499999999998,7.938999999999993,wifi running,0.017132361999999984
235.20499999999998,237.188,1.983000000000004,wifi scan,0.3765796320000008
237.188,245.242,8.054000000000002,wifi running,0.017380532000000004
245.242,247.263,2.021000000000015,wifi scan,0.3837959840000028
247.263,255.279,8.015999999999991,wifi running,0.01729852799999998
255.279,257.37,2.091000000000008,wifi scan,0.39708926400000155
257.37,265.312,7.942000000000007,wifi running,0.017138836000000015
265.312,267.294,1.981999999999971,wifi scan,0.37638972799999443
267.294,275.342,8.048000000000002,wifi running,0.017367584000000002
275.342,277.243,1.9010000000000105,wifi scan,0.361007504000002
277.243,285.376,8.132999999999981,wifi running,0.01755101399999996
285.376,287.37,1.9940000000000282,wifi scan,0.3786685760000053
287.37,295.406,8.036000000000001,wifi running,0.017341688
295.406,297.409,2.002999999999986,wifi scan,0.3803777119999973
297.409,305.437,8.02800000000002,wifi running,0.01732442400000004
305.437,307.43,1.992999999999995,wifi scan,0.378478671999999
307.43,309.651,2.2210000000000036,wifi running,0.004792918000000007
305.437,309.651,4.213999999999999,gps,0.6729420879999997
305.437,306.247,0.8100000000000023,gps,0.12935052000000033
308.568,309.651,1.0830000000000268,gps,0.17294643600000426

