Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.884,309.884,screen bright,222.15955820800002
0,25.419,25.419,wifi running,0.052668168
25.419,26.875,1.4559999999999995,wifi scan,0.2654812159999999
26.875,170.102,143.227,wifi radio,175.09214296000002
170.102,175.64600000000002,5.544000000000011,wifi running,0.011487168000000023
175.64600000000002,309.884,134.238,wifi radio,164.10327024
306.277,309.884,3.6070000000000277,gps,0.5530540960000042
1.059,309.884,308.825,audio,51.190832
1.059,302.13,301.07099999999997,audio,49.90552896
307.99,309.884,1.8940000000000055,audio,0.3139494400000009

